"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
1966-03-07,68.4,68.7,68.4,68.4,NA,68.4,98,2860
1966-03-04,68.2,68.5,68.2,68.5,NA,68.5,206,2898
1966-03-03,68.5,68.5,68.1,68.2,NA,68.2,215,2888
1966-03-02,68.5,69.1,68.5,68.6,NA,68.6,217,2958
1966-03-01,68.3,68.6,68.3,68.4,NA,68.4,235,3028
1966-02-28,68.6,68.7,68.4,68.5,NA,68.5,249,3098
1966-02-25,68.7,69.2,68.5,68.7,NA,68.7,224,3215
1966-02-24,69.1,69.1,68.7,69,NA,69,367,3299
1966-02-23,69,69.2,68.6,69.2,NA,69.2,345,3462
1966-02-21,69.5,69.6,68.7,69,NA,69,60,3513
1966-02-18,69.5,69.6,69.5,69.6,NA,69.6,190,3518
1966-02-17,69.6,69.6,69.5,69.6,NA,69.6,230,3528
1966-02-16,70.1,70.1,69.5,69.6,NA,69.6,315,3450
1966-02-15,70.1,70.3,70,70.2,NA,70.2,215,3368
1966-02-14,70.2,70.2,70,70,NA,70,132,3383
1966-02-11,70,70.1,69.6,70.1,NA,70.1,138,3306
1966-02-10,69.7,70.1,69.7,69.7,NA,69.7,47,3263
1966-02-09,69.6,69.7,69.5,69.7,NA,69.7,200,3278
1966-02-08,69.7,70.2,69.5,69.6,NA,69.6,590,3198
1966-02-07,70.5,71,70,70,NA,70,260,3303
1966-02-04,70.2,70.6,70.2,70.4,NA,70.4,430,3253
1966-02-03,69.4,70.3,69.3,70.1,NA,70.1,160,3000
1966-02-02,69.1,69.4,69,69.4,NA,69.4,148,3030
1966-02-01,69.3,69.4,69.1,69.1,NA,69.1,165,3026
1966-01-31,69.6,69.6,69.4,69.4,NA,69.4,65,2976
1966-01-28,69.3,69.6,69.3,69.5,NA,69.5,560,2961
1966-01-27,70,70,69.2,69.2,NA,69.2,227,2711
1966-01-26,70.3,70.4,69.5,69.7,NA,69.7,190,2781
1966-01-25,71,71,70.4,70.5,NA,70.5,344,2776
1966-01-24,70.3,70.6,70.3,70.6,NA,70.6,67,2644
1966-01-21,70.2,70.4,70.1,70.2,NA,70.2,127,2617
1966-01-20,70,70.2,70,70.2,NA,70.2,217,2519
1966-01-19,70.7,70.7,70.1,70.2,NA,70.2,385,2420
1966-01-18,69.6,70.4,69.4,70.4,NA,70.4,357,2305
1966-01-17,70.6,70.6,69.5,69.6,NA,69.6,519,2155
1966-01-14,70.7,71,70.4,70.5,NA,70.5,507,1790
1966-01-13,70.6,71,70.5,70.6,NA,70.6,370,1573
1966-01-12,70,70.5,70,70.4,NA,70.4,304,1401
1966-01-11,69.2,70,69.2,70,NA,70,473,1227
1966-01-10,68.7,69.4,68.7,69.4,NA,69.4,80,933
1966-01-07,68.3,68.6,68.3,68.6,NA,68.6,10,888
1966-01-06,68.5,68.5,68.2,68.2,NA,68.2,114,883
1966-01-05,68.2,68.4,68.2,68.4,NA,68.4,87,834
1966-01-04,68.3,68.4,68.1,68.1,NA,68.1,86,792
1966-01-03,68.2,68.2,67.7,68,NA,68,15,767
1965-12-30,67.4,67.4,67.3,67.4,NA,67.4,30,752
1965-12-29,67.2,67.5,67.2,67.3,NA,67.3,25,732
1965-12-28,67.1,67.6,67.1,67.4,NA,67.4,75,732
1965-12-27,67.3,67.3,67.2,67.3,NA,67.3,0,707
1965-12-23,67.6,67.6,67.6,67.6,NA,67.6,70,707
1965-12-22,68.2,68.2,67.6,67.7,NA,67.7,105,687
1965-12-21,67.6,67.6,67.4,67.5,NA,67.5,10,587
1965-12-20,69.2,69.5,69,69.5,NA,69.5,316,6257
1965-12-17,69.4,69.7,69.3,69.3,NA,69.3,930,6195
1965-12-16,70.1,70.1,69.4,69.5,NA,69.5,322,5844
1965-12-15,70.3,70.4,70.1,70.2,NA,70.2,399,5726
1965-12-14,70.5,70.6,70.3,70.3,NA,70.3,915,5651
1965-12-13,70.4,70.6,70,70.1,NA,70.1,561,5224
1965-12-10,70.2,70.4,70,70.3,NA,70.3,152,5042
1965-12-09,70.5,70.7,70.4,70.4,NA,70.4,230,5000
1965-12-08,70.5,71.1,70.4,70.5,NA,70.5,190,4980
1965-12-07,71,71,70.6,70.6,NA,70.6,515,4945
1965-12-06,71,71.2,70.6,71,NA,71,537,4791
1965-12-03,71,71,70.6,71,NA,71,299,4688
1965-12-02,70.6,71.1,70.4,70.6,NA,70.6,344,4714
1965-12-01,70.1,70.6,70,70.5,NA,70.5,317,4607
1965-11-30,70.1,70.4,70,70.2,NA,70.2,322,4570
1965-11-29,70,70.2,69.7,69.7,NA,69.7,97,4543
1965-11-26,69.6,70,69.6,69.7,NA,69.7,130,4556
1965-11-24,70,70.1,69.6,69.6,NA,69.6,111,4511
1965-11-23,70,70.1,69.7,69.7,NA,69.7,132,4615
1965-11-22,70.3,70.3,70,70.1,NA,70.1,284,4541
1965-11-19,70.1,70.2,70,70,NA,70,1157,4526
1965-11-18,70,70.3,70,70.2,NA,70.2,782,4276
1965-11-17,70.2,70.2,69.7,70,NA,70,1813,4269
1965-11-16,69.3,70.1,69.2,70,NA,70,72,3629
